target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_epochs,sd_epochs,se_epochs,mean_final_scaled_loss,sd_final_scaled_loss,se_final_scaled_loss,mean_best_internal_validation_score,sd_best_internal_validation_score,se_best_internal_validation_score
target_frontier_gap_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,5,0.9683739783869554,0.004226151091519891,0.001889992224764682,0.04587220110243701,0.002055691656558226,0.0009193332569686688,0.06471412724172451,0.004197192906536727,0.0018770417307392086,24.873204421205447,8.719169750003694,3.8993312536736213,102.4,39.39289275998908,17.617037208338978,0.006018069204969491,0.00131064781226508,0.0005861395205572202,0.9706079614647601,0.007788265628407336,0.003483018274388784
target_frontier_gap_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,5,0.9675305059407531,0.002053132034572416,0.0009181885592172742,0.04627723714044398,0.0019304396888131852,0.0008633188741299644,0.06565077353180757,0.0019915510728039094,0.0008906487158904348,15.03335215416737,4.6985013219855,2.1012336696664407,136.6,26.698314553544385,11.939849245279438,0.014381913975623096,0.002000077395440881,0.0008944618032933075,0.9729681425480423,0.003922978987866067,0.0017544095382343698
target_frontier_gap_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,5,0.967372646427864,0.0011475399615736288,0.0005131954721952261,0.04638349278667568,0.0008472885467032068,0.0003789189573970751,0.0658290767653942,0.0010389832401478376,0.0004646474304907107,24.687342643202282,4.972574862350067,2.223803083084282,136.0,40.92065493122025,18.30027322200409,0.006092516013216259,0.0013033340285182014,0.0005828686970310695,0.9713223255089811,0.0024357630585774776,0.0010893063552124083
target_frontier_gap_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,5,0.9651881956522848,0.00569623616888368,0.002547434257903376,0.047513285696972454,0.0009524961737455353,0.00042596923856069344,0.06785439198478996,0.005530141065869788,0.0024731542696895975,25.289674263214692,9.191038934491308,4.11035756827396,202.2,21.890637268019404,9.789790600416334,0.005954502435862361,0.0007203022044139965,0.00032212893868252903,0.9721925724938607,0.006405596127267342,0.002864669675395834
target_frontier_gap_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,5,0.9659072148648994,0.002170336467911765,0.0009706039752594995,0.04775626726385511,0.0010971265728023235,0.0004906499193414734,0.0672753405721564,0.0021681152718835014,0.0009696106261973895,27.894331350619904,6.895517412715719,3.083769134973164,131.8,39.03460003637798,17.456803831171385,0.004692359375839442,0.0015715317055828848,0.0007028103444959032,0.9721659918804735,0.004191105317807138,0.001874319278295524
target_frontier_gap_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,5,0.9620788557637192,0.015969067537954646,0.007141584110430358,0.047980318687006,0.002812595519804011,0.0012578309550986247,0.06996780955846187,0.013604423793631738,0.006084083279455227,23.989903714996764,5.640297910593861,2.5224179082875806,200.2,47.1932198520084,21.105449533236666,0.010991195426981423,0.0012842921734135164,0.0005743529205447141,0.9725497388902185,0.005908167787450053,0.0026422129590425694
target_frontier_gap_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,5,0.963584413619478,0.004486349980581171,0.0020063567054868716,0.049110997691448874,0.0005416361128064527,0.00024222703346079452,0.06945567076989448,0.004359436471717703,0.0019495992588705244,5.718232351029291,4.599614509855174,2.057010142866109,238.4,13.68575902169843,6.120457499239742,0.011945349380022013,0.0011093377534980963,0.0004961109253657297,0.9669242136904546,0.005990320966786002,0.002678952977755152
target_frontier_gap_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,5,0.9624223295181349,0.004655659370141613,0.0020820741663441,0.04939245947348492,0.0010923124131115725,0.0004884969616768617,0.07054635217732154,0.004415448232359762,0.001974648479737543,2.2110573845915495,1.6408582183745806,0.7338141035449512,233.2,69.44926205511474,31.05865418848666,0.008127623861983537,0.0012953791859392036,0.0005793111832796798,0.9646265310386264,0.006771810998366916,0.003028445944625828
target_frontier_gap_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,5,0.9596661531505818,0.012870131218687249,0.0057556976568653795,0.04994844900416453,0.0029681053887442095,0.0013273770827230984,0.0725700372065147,0.01079307975735919,0.004826812004806416,14.080569649999962,7.0219291521157565,3.140302183463658,159.0,55.767373974394744,24.939927826679853,0.006549054627988762,0.0021189713459456344,0.0009476327943817324,0.9698706702312677,0.008266190543089047,0.0036967527938626026
target_frontier_gap_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,5,0.9630845973318225,0.0028895021602466874,0.0012922246502888167,0.04997229072719822,0.0016978274091983751,0.0007592915002059837,0.0699823143883894,0.002557431198390219,0.001143718001475856,3.842709400760941,3.802792758061779,1.7006606222740097,213.6,56.65068402058355,25.33495608837718,0.00894912917446623,0.0008109997648818153,0.0003626901208024171,0.9642780301726315,0.006418751580769731,0.00287055297305707
target_frontier_gap_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,5,0.9619788022969538,0.003927739533096677,0.0017565385187834908,0.05055281647108815,0.0031043269604326532,0.0013882972215825424,0.07102852046508348,0.004361706382252466,0.001950614393722239,16.919724767585286,6.638434805345364,2.9687982977905634,109.6,57.760713291994584,25.831376269955108,0.014464126183590257,0.0024283264000704292,0.0010859805804229658,0.953533066338206,0.015542861785481057,0.006950979103443879
target_frontier_gap_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,5,0.9631074012007985,0.002045774270406792,0.0009148980670499247,0.05076874657522672,0.002386415363542593,0.0010672373950862222,0.06999462923509821,0.002189319730468186,0.000979093548361676,16.461784963007084,5.247539406614385,2.3467709655597346,100.4,11.84483009586883,5.2971690552596105,0.00765878867327051,0.0009311339190314032,0.0004164157478220005,0.9632686600355296,0.0036654780174660093,0.0016392516034170316
target_frontier_gap_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,5,0.9607512044767468,0.004482486064016546,0.0020046287094672944,0.05169775120424789,0.0032317556850302636,0.0014452850796798137,0.07209955589010698,0.0038751574853553524,0.0017330231121543427,17.45521657138597,6.067372771476402,2.713411592370506,110.8,28.865203966021095,12.908911650483939,0.006760650376545202,0.001117240561821402,0.0004996451686905422,0.9637814701928992,0.004722227765115328,0.0021118444576069565
target_frontier_gap_ev,32,"(32,)",1,0.0001,640,33,673,5,0.9576996017543635,0.004521675561649134,0.002022154785609401,0.053796202430464166,0.0019845144999027136,0.0008875018648232934,0.07489639486298998,0.0043438294472069585,0.0019426195853240187,0.9962745441822335,0.4141359606391442,0.18520723198326072,235.6,70.18048161704222,31.385665517876152,0.01331521507061613,0.0015974640639426032,0.0007144076477177462,0.9650394435937224,0.004941436268916453,0.002209877480756024
target_frontier_gap_ev,32,"(32,)",1,0.001,640,33,673,5,0.9588414107282363,0.005314879875199837,0.0023768865386384866,0.05384492493901788,0.0026983819330363406,0.0012067530863053085,0.07384517374681841,0.005301617559871939,0.0023709554509160433,0.9790959374047816,0.32625267655088547,0.1459046325218063,231.0,74.45804187594514,33.298648621227855,0.013881104961461763,0.0016632442138621152,0.0007438254250757775,0.9651373907397364,0.0051699444699027704,0.0023120694549203418
target_frontier_gap_ev,32,"(32,)",1,0.01,640,33,673,5,0.9578629704637287,0.003959606437748868,0.0017707898317904514,0.05435158935729101,0.0026087790471551486,0.0011666814575432083,0.07477897946591036,0.004177965713057034,0.0018684430684117817,0.9689687540056184,0.1871776504946297,0.08370839007493783,209.0,51.39066063011839,22.982602115513377,0.016252296294872303,0.001262752151548494,0.0005647199299193097,0.9645184339215064,0.005440805761605011,0.002433202307064264
target_frontier_gap_ev,16,"(16,)",1,0.01,320,17,337,5,0.9555983995122797,0.0071037210881627335,0.0031768806492661296,0.05646709683077602,0.00455699803324185,0.0020379514751323246,0.07662239237075386,0.005919458568129413,0.0026472623496661876,0.9243172124028206,0.4317278748111567,0.1930745751718531,259.0,119.73303637676612,53.54624169818083,0.018615586747265746,0.004099434510049773,0.0018333228467559675,0.9583909221798708,0.011292840654384165,0.00505031187245524
target_frontier_gap_ev,16,"(16,)",1,0.0001,320,17,337,5,0.9553860145565455,0.00787563598327615,0.0035220914849297736,0.05650932014047162,0.004600708822031253,0.002057499534148973,0.07677789141471807,0.006729529767935268,0.0030095372035423285,0.9263398318085819,0.40383469495175534,0.1806003659170032,251.2,114.75495631997775,51.31997661729787,0.016916016308111008,0.004043748079965482,0.0018084191181374145,0.9575999500985117,0.01066170447963924,0.004768059194497473
target_frontier_gap_ev,16,"(16,)",1,0.001,320,17,337,5,0.9544459942721183,0.008406632971424266,0.0037595605571991413,0.05687118593200936,0.004677154606316951,0.0020916871282001936,0.07756698418092625,0.007476439881391884,0.0033435655608965434,0.9144989945925772,0.5079184196975509,0.2271480226935984,258.0,138.79661379154751,62.07173269693701,0.01720113448863534,0.004069098939563851,0.001819756367207416,0.957626241445728,0.011125527238785807,0.004975487038290119
target_interaction_energy_kcal_mol,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,5,0.9343960730791064,0.012365607066028997,0.0055300675965385135,0.8564699970595406,0.03121086998998349,0.013957925386902253,1.2430314790568873,0.09759055424325215,0.04364382264995847,33.07208366300911,6.97343593361871,3.1186153568622292,120.4,24.49081460466352,10.952625256074453,0.009180417860858082,0.0011788591275563615,0.000527201829022424,0.9481409167067751,0.0056852673089534305,0.0025425288346154337
