target,architecture,alpha,train_fraction,fold,n_training_structures,n_validation_structures,fit_seconds,epochs,r2,mae,rmse
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,4,1755,439,21.503485295106657,158,0.9165930812974195,0.901360083888823,1.384456320640804
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,5,1756,438,24.311281215050258,168,0.9312789491639325,0.8426420271640764,1.2743968331102196
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,1,438,439,4.364301027962938,60,0.7942810950208424,1.2254572645633546,2.1794081638709493
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,2,438,439,12.55901863600593,129,0.7344747433468966,1.1690394588674413,2.527235983751016
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,3,438,439,9.70569099392742,87,0.8323756364352615,1.125224605044697,2.1432473039919353
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,4,438,439,10.815742471022531,115,-245.8385944209043,4.723667081858348,77.94183745116298
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.25,5,439,438,5.051504692062736,48,0.8525050596360273,1.1728903249621587,2.0146512700264685
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,1,877,439,19.327200516010635,93,0.9187134158598097,0.8180450940042759,1.369969531174259
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,2,877,439,17.823699394008145,129,0.9221672544920827,0.760256362363568,1.3682770828278557
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,3,877,439,21.5551958050346,124,0.9303361691963707,0.7784884899842488,1.3816797462665737
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,4,877,439,16.687235542107373,108,0.6362834013997459,0.9433364531343857,2.9918903159365233
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.5,5,878,438,22.75021787500009,115,0.9460389560561314,0.7310508232244174,1.2185728343034776
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,1,1316,439,24.585205888026394,98,0.9285202763963004,0.7186490137907111,1.2846739082298568
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,2,1316,439,23.117172459955327,92,0.9353634261993701,0.776390102550625,1.2469011967931454
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,3,1316,439,9.790003000991419,35,0.7681103818019569,1.432523092983372,2.5208346970577766
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,4,1316,439,26.128886737045832,133,0.938759596604958,0.7368745124067368,1.2276741995516627
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,0.75,5,1317,438,25.718389885034412,164,0.9377354989843701,0.6723785939579794,1.3089756768473455
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,1,1755,439,39.10067238402553,166,0.9622927356368395,0.5729276737947495,0.9330694801935295
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,2,1755,439,22.07979145203717,118,0.9538381267908033,0.6398031456338041,1.0537427263474333
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,3,1755,439,19.880445210030302,101,0.9480526273165728,0.7012089276764079,1.1931237996258424
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,4,1755,439,31.052225599996746,275,0.9323536563635939,0.6124889773895225,1.290286850299191
target_somo_somo_elst_corrected_signed_kcal_mol,128-64-32,0.01,1.0,5,1756,438,30.295765403076075,216,0.9584032496962869,0.5984374023556804,1.0698946657541932
