target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,fold,n_fold_train,n_fold_validation,fit_seconds,epochs,final_scaled_loss,best_internal_validation_score,r2,mae,rmse
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,4,1755,439,5.844994175015017,37,0.038826446958408846,0.7386201209177355,0.28514213623116935,0.07158855480196544,0.18822609471258245
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,5,1756,438,5.646043314947747,39,0.037998569748877276,0.8030866063233216,0.8657129114540963,0.05848061146007671,0.08169265105827749
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,1,1755,439,32.02007912599947,105,0.009675673925118497,0.9406354432507391,0.942241383434071,0.038543090460255655,0.052444922406580816
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,2,1755,439,59.92689907399472,117,0.011427067771762544,0.9505854908930256,0.9244554219873026,0.043432138157914184,0.05922888570779208
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,3,1755,439,32.56442692200653,76,0.01610350889999189,0.9304782554455138,0.9250896204524413,0.042820870640985664,0.06040872687201293
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,4,1755,439,32.3987857750617,98,0.010995746248025186,0.9415433823634431,0.934064299788909,0.04062441443649832,0.05716501127089448
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,5,1756,438,48.13890595303383,169,0.005286517824664993,0.9422249302050687,0.9281896521899135,0.043196976089635214,0.0597391963527262
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,1,1755,439,28.637103168992326,119,0.010863778387152752,0.9403075826243315,0.9389052181788726,0.03979719832881335,0.05393828268847979
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,2,1755,439,29.78385187103413,96,0.013552705540445173,0.9479735975033623,0.9247394751565715,0.04381333100004671,0.05911742835402629
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,3,1755,439,69.08041318203323,154,0.00856586332787093,0.9306259054325966,0.9316179954902299,0.04031150679730806,0.05771644827613721
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,4,1755,439,36.811104199965484,123,0.01054803374581373,0.9390935662637132,0.9236113951612203,0.04167114562213828,0.0615296254253877
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,5,1756,438,47.38519463199191,135,0.01042969437010914,0.9392935822386903,0.927892370672831,0.042903129988055504,0.05986272323496713
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,1,1755,439,69.77567437000107,160,0.020920257586153044,0.9459230559426989,0.9466862823678621,0.03661583737987611,0.050386540342347116
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,2,1755,439,37.476646655006334,128,0.0227103131332392,0.9502520532244478,0.9286081281434804,0.042649828685025065,0.05757796308499792
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,3,1755,439,55.1925293749664,174,0.02009444550549662,0.9389496707881649,0.9280160636962713,0.04083690619413201,0.0592170106647456
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,4,1755,439,31.582404472050257,98,0.023065457828959964,0.9445088945066474,0.9332324230310268,0.04139244224101491,0.05752449172706772
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,5,1756,438,37.17339900403749,135,0.022792193605490976,0.9410501999278821,0.9316366695000459,0.042128944730341705,0.058287773595759075
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,1,1755,439,48.991064214962535,236,0.0047927577118499565,0.9211261885719402,0.9393457780347302,0.03750391417950439,0.05374345396626126
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,2,1755,439,21.81272276805248,84,0.013932610310997644,0.9357174111665574,0.9173437065800027,0.044349922155063885,0.06195407476096265
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,3,1755,439,32.03531763609499,91,0.014124526673295735,0.9494555063353958,0.9248270421935806,0.04178688953498311,0.06051450755762947
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,4,1755,439,28.612367966095917,106,0.013413363953818562,0.9498218682801041,0.9148615757850433,0.043655675439462666,0.06495802111318037
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,5,1756,438,32.64079380698968,141,0.00794990886683792,0.9255136028152186,0.9163858632058592,0.04398942212314467,0.06446228799692894
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,1,1755,439,37.66527525696438,238,0.007424539334915023,0.9207257763683871,0.9369711662634822,0.03905211214456396,0.054785381667601704
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,2,1755,439,21.6071912139887,84,0.01534401584134368,0.9369112503610876,0.9134070547532588,0.044780802965870954,0.06341225072009209
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,3,1755,439,24.286253373953514,99,0.014795349244680064,0.9480562003172675,0.9174665665699276,0.042680816976519334,0.06340793946656029
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,4,1755,439,22.323570620967075,108,0.012355696775140498,0.9476333198727549,0.9201713886938371,0.04439455213181018,0.06289980069695475
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,5,1756,438,23.324392357026227,141,0.010219186033966942,0.9247956966321345,0.920046132137718,0.04419927170555508,0.06303555774357783
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,1,1755,439,22.15039004595019,219,0.018106511533995708,0.9221527319224748,0.9385040180194313,0.03880161088640854,0.05411509514624052
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,2,1755,439,15.756333949044347,84,0.02534811275597699,0.9322362974531385,0.9136816564067047,0.044781334158617736,0.06331162511025248
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,3,1755,439,18.54183609294705,99,0.02582980714107618,0.9481619880404036,0.9182831476875123,0.042152819542768775,0.06309348244653962
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,4,1755,439,14.067658692016266,147,0.020241491905437375,0.9543950458125032,0.9039558751497354,0.04365527030690585,0.06899305629036374
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,5,1756,438,12.672711773077026,141,0.019455302371954253,0.924112401932237,0.920790881178284,0.043042867288181956,0.06274129114861647
target_interaction_energy_kcal_mol,16,"(16,)",1,0.0001,320,17,337,1,1755,439,0.4596526740351692,139,0.03991042490360722,0.869555731226634,0.9053312320096046,1.1224317122573966,1.5299212198486678
target_interaction_energy_kcal_mol,16,"(16,)",1,0.0001,320,17,337,2,1755,439,1.1537882529664785,345,0.031030542255731406,0.9286195534300339,0.911719656393388,1.099446328497834,1.454340763597149
target_interaction_energy_kcal_mol,16,"(16,)",1,0.0001,320,17,337,3,1755,439,2.4682022919878364,676,0.025987895039011687,0.9313844717983063,0.9238128216125653,0.9668477171816788,1.3369846111045243
target_interaction_energy_kcal_mol,16,"(16,)",1,0.0001,320,17,337,4,1755,439,1.639748068060726,480,0.025452342191993747,0.9295743925665163,0.8932812645428859,1.0557620012602518,1.5660245099734114
target_interaction_energy_kcal_mol,16,"(16,)",1,0.0001,320,17,337,5,1756,438,1.3879431159002706,411,0.028747459222980772,0.9172332302850267,0.9127945157583488,1.062011679635424,1.4355941722842607
