scheme,model_family,target,system,n,model_r2,model_mae
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.987700699093794,0.5719233017615035
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9821974562959862,0.45100424284916557
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,CPBP,119,0.9424746496966908,0.034878745406887963
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,fluorenyl,55,0.9392275655559851,0.03363254145224215
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,olympicenyl,80,0.9524705340729226,0.03590068043111115
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,phenalenyl,38,0.9813688336555252,0.03408160888470765
train_test_70_15_15,extra_trees,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.9597502936273148,0.02991878597918954
train_test_70_15_15,extra_trees,target_frontier_gap_ev,CPBP,119,0.4951865002639133,0.031286909271709115
train_test_70_15_15,extra_trees,target_frontier_gap_ev,fluorenyl,55,0.5910493891518507,0.04888278787878684
train_test_70_15_15,extra_trees,target_frontier_gap_ev,olympicenyl,80,0.8123468098086468,0.03160922166666621
train_test_70_15_15,extra_trees,target_frontier_gap_ev,phenalenyl,38,0.8342545232346466,0.04835231377192937
train_test_70_15_15,extra_trees,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.8123357075837969,0.03473683951388811
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,CPBP,119,0.8816441587640843,0.7970604012554767
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,fluorenyl,55,0.7527916651608052,0.8750691531339602
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,olympicenyl,80,0.8612185362766624,0.8730243977802827
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,phenalenyl,38,0.825207275307449,0.9485472265915564
train_test_70_15_15,extra_trees,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.9178589524211744,0.6489244292473291
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.9604274390052712,0.49363645766216924
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.884078097487381,0.7002179177021766
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.979245577475645,0.5584315174380265
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.9787534480946646,0.71472178764542
train_test_70_15_15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9714918597077775,0.44953981023024453
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,CPBP,119,0.9080503192276274,0.04630277900417077
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,fluorenyl,55,0.9446432726853832,0.0346017806472284
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,olympicenyl,80,0.9592669512689864,0.03240910647523615
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,phenalenyl,38,0.9817659383827545,0.034340879247261515
train_test_70_15_15,mlp,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.9621946682286167,0.03282007600418788
train_test_70_15_15,mlp,target_frontier_gap_ev,CPBP,119,-0.011441218789271401,0.043284950079992175
train_test_70_15_15,mlp,target_frontier_gap_ev,fluorenyl,55,0.5265047513552319,0.06271877236382786
train_test_70_15_15,mlp,target_frontier_gap_ev,olympicenyl,80,0.7731281158995129,0.03560887092900069
train_test_70_15_15,mlp,target_frontier_gap_ev,phenalenyl,38,0.7379413450535655,0.06679890417759633
train_test_70_15_15,mlp,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.6723172111877593,0.0501923484214436
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,CPBP,119,0.840252104843936,1.0033230949132472
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,fluorenyl,55,0.7580426032396573,0.9528444884141718
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,olympicenyl,80,0.8815119657404007,0.858858674429625
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,phenalenyl,38,0.8189502420182584,0.9404328982366388
train_test_70_15_15,mlp,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.8692302394354849,0.7820774630098706
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.9265304346886627,0.676382127392803
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.9490181688470553,0.485536351356034
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.9748180494768904,0.5975524595498952
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.9877006990937939,0.5719233017615037
train_test_70_15_15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9821974562959861,0.4510042428491654
