target,model_family,importance_type,feature,importance,importance_std,best_model,best_feature_group
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,projected_pi_overlap_area,0.5846753635359142,0.017152463794499882,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,stack_interplane_distance,0.5245033247617344,0.01583815281843618,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_4p0,0.5156114959388864,0.017198008761319623,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_3p6,0.49107806540397353,0.016030926328280647,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,pi_projected_area_ratio_min_over_max,0.4834255745443464,0.021622406911584898,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,contact_region_bla_mean,0.3525806753969535,0.012533900722232625,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,pi_projected_area_mean,0.3126331716522405,0.01341604961736337,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,bla_fragment_mean,0.30904104135235005,0.01144290959490053,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,delta_contact_atoms_3p4,0.22039661710303232,0.010141153820998464,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,delta_contact_region_bla,0.1907192353153889,0.01118732034524466,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,contact_density_3p6_per_overlap_area,0.004604259376221137,0.0019117934540383397,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
