target,n_estimators,min_samples_leaf,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_nodes_total,sd_nodes_total,se_nodes_total,mean_leaves_total,sd_leaves_total,se_leaves_total,mean_mean_tree_depth,sd_mean_tree_depth,se_mean_tree_depth
target_fodft_coupling_abs_ev,300,10,5,0.8910706025605435,0.025169677719386226,0.011256222070461895,0.048132812493977585,0.002873908949956129,0.001285251154649389,0.07225761740953691,0.008951210056990453,0.0040031028336620835,0.6621483324328438,0.00429024881364389,0.001918657597539113,77332.0,96.42613753542138,43.12307966738924,38816.0,48.21306876771069,21.56153983369462,14.562666666666667,0.11877616670770992,0.05311831657305735
target_fodft_coupling_abs_ev,200,10,5,0.8912255572429555,0.02486825874957615,0.011121423409221237,0.048163069006822684,0.0028558582271375607,0.001277178625996324,0.07221388117245449,0.008872881962875463,0.00396807344506426,0.44120870302431286,0.0016479571737651052,0.0007369888529094416,51506.8,78.79847714264534,35.23975028288367,25853.4,39.39923857132267,17.619875141441835,14.587,0.11919521802488556,0.05330572201931046
target_fodft_coupling_abs_ev,50,10,5,0.8893973070902945,0.023545184468935408,0.01052972660306237,0.048588514039094095,0.0025930359102343302,0.001159640912676401,0.07286594937861354,0.008351509242395186,0.0037349084761426803,0.11331528858281673,0.0007181348819710861,0.0003211596826202273,12900.0,21.02379604162864,9.402127418834526,6475.0,10.51189802081432,4.701063709417263,14.372,0.17355114519933326,0.07761443164772909
target_frontier_gap_ev,500,1,5,0.9795880070584702,0.0016769309495548474,0.0007499463193555818,0.03568232899470565,0.0009146357310492264,0.00040903753385525705,0.05205426025959459,0.002546951596208211,0.001139031380904631,3.5648751540109513,0.011640921034856542,0.005205978150929285,1751498.0,1089.8926552647283,487.4148130699353,875999.0,544.9463276323642,243.70740653496765,30.043600000000005,0.3939832483748521,0.17619466507247056
target_frontier_gap_ev,750,1,5,0.9795157724530776,0.001794983442943332,0.0008027409993815811,0.03569739128585485,0.0009441224773567852,0.0004222244076910555,0.0521430635569136,0.0027173259592177274,0.001215225112367132,5.3522053471999245,0.1172361875021544,0.052429616935545695,2627261.2,1621.2591402980586,725.0491293698655,1314005.6,810.6295701490293,362.5245646849327,30.019466666666666,0.4404932588713596,0.19699457409335447
target_frontier_gap_ev,1000,1,5,0.9795984560205045,0.0017231073233470715,0.0007705970215063524,0.035698390376634984,0.0009645109856553328,0.0004313424257941297,0.05203958074408101,0.0026184507939100207,0.0011710067941842197,7.105657345987856,0.034601123714980905,0.015474092944915472,3503024.0,2115.391689498661,946.0319233514267,1752012.0,1057.6958447493305,473.01596167571336,30.0274,0.42912154455352264,0.19190898884627625
target_frontier_gap_ev,300,1,5,0.9793788875234318,0.001831532725036899,0.0008190863352395874,0.03574698016697701,0.0009329316886510142,0.00041721973483746733,0.052315988775871416,0.00275953045734182,0.0012340995377194785,2.1265470393933357,0.010552011440997836,0.004719002976285334,1050903.2,627.2345653740712,280.50782520279176,525601.6,313.6172826870356,140.25391260139588,30.095333333333333,0.4308815253510981,0.19269607618677084
target_frontier_gap_ev,200,1,5,0.9793350855528496,0.0017551667581118997,0.0007849344365972276,0.03582395743127284,0.0009441754313256405,0.00042224808942586327,0.05237545906810302,0.0026868230244349923,0.001201583785229644,1.4223583689890802,0.010452838764455333,0.004674651607033407,700605.6,417.7999521302031,186.84581879185845,350402.8,208.89997606510155,93.42290939592922,30.019,0.39908332463283935,0.178475488513129
target_frontier_gap_ev,100,1,5,0.9793438193486816,0.001975871767767433,0.0008836367175101316,0.035951772274055785,0.0011893073211205938,0.0005318744032327638,0.052353415971450865,0.002907423875604576,0.0013002394850515448,0.7164358852198347,0.013388229646397841,0.005987398317544709,350305.2,203.30568117984308,90.92106466600575,175202.6,101.65284058992154,45.460532333002874,29.894,0.5153930538918817,0.23049078072669202
target_frontier_gap_ev,50,1,5,0.9789017856226294,0.0018413642729579387,0.0008234831371346856,0.036135262959611385,0.0011513163327271359,0.0005148843167167283,0.05291923410425833,0.002760164998000798,0.001234383312929071,0.3621420610463247,0.006373720821119045,0.0028504146051255923,175150.8,98.79878541763559,44.18416005764962,87600.4,49.39939270881779,22.09208002882481,29.915999999999997,0.5776504133124117,0.2583331182794804
target_frontier_gap_ev,1000,2,5,0.976569069335763,0.0037625308800938273,0.0016826549630663816,0.03708878171644919,0.001206856062979841,0.0005397224391761383,0.055689524364070375,0.005039809278654041,0.002253871228140923,4.548434086027555,0.08960857167761965,0.040074171527563984,1519166.8,718.9862307443725,321.54041736615324,760083.4,359.49311537218625,160.77020868307662,25.3868,0.34026342736180165,0.15217043076761008
target_frontier_gap_ev,750,2,5,0.9765881924400178,0.0036916357345144275,0.0016509496901083252,0.03710113321074687,0.0011846339406219445,0.0005297844039368235,0.05567129130781242,0.004954494752335113,0.0022157174120774593,3.3577123207971455,0.02299932062956616,0.010285608872804637,1139390.8,485.74602417312695,217.2322259702736,570070.4,242.87301208656348,108.6161129851368,25.3616,0.324528238798687,0.14513344051442975
target_frontier_gap_ev,300,2,5,0.9766103530859862,0.003731031125002585,0.001668567844334659,0.03712542898532132,0.0012399156613185562,0.0005545071410149796,0.055640772714510955,0.0049960819789389805,0.0022343157852138464,1.3444644670002162,0.006359242468057489,0.0028439396887960156,455810.8,233.3306666514284,104.34864637358743,228055.4,116.6653333257142,52.174323186793714,25.299333333333333,0.3182102728979347,0.14230796026770817
target_frontier_gap_ev,500,2,5,0.9765639674871915,0.0037433717596792996,0.0016740867439391839,0.037160877236714386,0.0012002962387777222,0.0005367887966088612,0.05569635403429023,0.005017086515716539,0.0022437092996279496,2.2391820286167787,0.004558067286918089,0.002038429659913377,759557.6,391.42662147585213,175.05130676461687,380028.8,195.71331073792607,87.52565338230843,25.2924,0.27719451654027977,0.12396515639485108
target_frontier_gap_ev,200,2,5,0.9764484851893197,0.0038298535391004026,0.0017127625714593298,0.03720640163916363,0.0013352949784335734,0.0005971620683583171,0.05582809249393441,0.005116510664421119,0.0022881731306496475,0.9015351787908003,0.0056847132603274515,0.0025422810565373277,303814.4,211.8320089127231,94.73415434783803,152007.2,105.91600445636155,47.367077173919014,25.266,0.40120755227188803,0.17942547199324835
target_frontier_gap_ev,100,2,5,0.9761345627470372,0.00414804590167304,0.0018550625219860653,0.03742347408871689,0.0012724708940336125,0.0005690662836898177,0.056186239536785455,0.005432826287723399,0.00242963377785947,0.4498055597767234,0.0011444130567105325,0.0005117970778286145,151882.8,99.42434309564233,44.46391795602362,75991.4,49.712171547821164,22.23195897801181,25.118,0.4102072646845748,0.18345026573979162
target_frontier_gap_ev,50,2,5,0.9758213914493796,0.0036769790275880797,0.001644395011505604,0.03764081402814613,0.0014416245274155792,0.0006447140882664488,0.056581032984443266,0.004871005825004656,0.0021783800287015712,0.23083166959695517,0.0032313346492507233,0.0014450967867550113,75980.8,68.36080748499099,30.571882506643256,38015.4,34.18040374249549,15.285941253321628,25.104,0.4574713105758653,0.20458738964071066
target_frontier_gap_ev,750,3,5,0.9734794801132154,0.004980751135666202,0.0022274596236717807,0.03932318784329816,0.0014598249844299607,0.0006528535800875928,0.05919895246621789,0.006167309877478883,0.0027581048248697363,2.717975228978321,0.013534603165074044,0.006052858545117874,718710.4,605.9544537339419,270.9910699635691,359730.2,302.97722686697097,135.49553498178454,22.757066666666667,0.2795860432059422,0.125034679633736
target_frontier_gap_ev,1000,3,5,0.9734806775219859,0.005025825463905021,0.0022476174760682087,0.03934671204132013,0.0014511701749934025,0.0006489830316411026,0.05919524719142479,0.006221030664583713,0.002782129491223975,3.624844956654124,0.014318467349682552,0.006403413265500287,958344.0,675.5146186427056,302.0993214159873,479672.0,337.7573093213528,151.04966070799364,22.7738,0.27307453195052805,0.12212264327306378
target_frontier_gap_ev,500,3,5,0.9734967000115458,0.004883277762660724,0.0021838682060644926,0.039369484015943104,0.0015069716290066352,0.000673938200524486,0.05918339077682429,0.006066382064637952,0.0027129685348031966,1.8147910060128196,0.010166714242152172,0.004546692830653502,479130.4,377.1137759350618,168.6504076484845,239815.2,188.5568879675309,84.32520382424225,22.754399999999997,0.2608846488392906,0.11667116181816306
target_frontier_gap_ev,300,3,5,0.9732653934612274,0.005057485283454379,0.002261776177801757,0.03939941299374732,0.001492878086534719,0.000667635376722289,0.059431539610427034,0.006241042731851071,0.002791079159779997,1.101876339595765,0.018443049010933726,0.008247982260161614,287471.6,286.5428414740107,128.14585440036677,143885.8,143.27142073700534,64.07292720018339,22.791333333333334,0.19420207116414745,0.08684980649885708
target_frontier_gap_ev,200,3,5,0.9731200269193888,0.005262405108466116,0.0023534191095344777,0.03944738952927488,0.0015485165295577928,0.0006925176448746574,0.05958079601312678,0.006455404673274804,0.002886944734342456,0.7265517336083576,0.0020951928357577755,0.0009369987213449876,191674.4,175.33624839148348,78.41275406462904,95937.2,87.66812419574174,39.20637703231452,22.708000000000002,0.22615260334561738,0.10113851887386936
target_frontier_gap_ev,50,3,5,0.9729982009972709,0.005397017206917377,0.0024136194700806607,0.03966913010003166,0.0015780117380854626,0.0007057083031303375,0.05970284198055016,0.00659761178855274,0.002950541689671579,0.1862701514037326,0.0012706588688763806,0.0005682559214041157,47944.4,35.28172331391992,15.778466338652818,23997.2,17.64086165695996,7.889233169326409,22.732,0.3330465432938763,0.1489429420952868
target_frontier_gap_ev,100,3,5,0.9729001888512949,0.005275723776948347,0.0023593753991536883,0.03966960602287514,0.0015785441468642689,0.0007059464035745833,0.0598242792126228,0.006438721758750955,0.0028794839081548273,0.36498755803331734,0.0005465275470273295,0.00024441454934586435,95858.0,108.71062505569546,48.61686950020538,47979.0,54.35531252784773,24.30843475010269,22.634,0.2950084744545491,0.13193180056377637
target_frontier_gap_ev,300,5,5,0.9662002724002668,0.007451677629797257,0.0033324915453282356,0.043726591736177024,0.0016298216746096492,0.0007288784111259437,0.06674772568697626,0.008044289062914935,0.0035975154350671753,0.859452860802412,0.0028602822927929227,0.0012791571283047865,163340.0,202.02475095888622,90.34821525630707,81820.0,101.01237547944311,45.174107628153536,19.688,0.2630230239182705,0.11762747222576117
target_frontier_gap_ev,1000,5,5,0.9662169175289499,0.007543890239114,0.003373730277891209,0.0437280347000711,0.001738803451875668,0.0007776165435810556,0.06672396954093407,0.008134408126520208,0.003637817905525179,2.8544379906263204,0.011344887489346013,0.005073587924652921,544281.2,371.91020421601775,166.3232996305689,272640.6,185.95510210800887,83.16164981528445,19.735,0.3033685876949026,0.1356705568647817
target_frontier_gap_ev,750,5,5,0.9662592249876252,0.0074537793231279886,0.0033334314511593104,0.0437285016234483,0.0017183983827738088,0.000768491119261588,0.06668790528941275,0.008056255461291692,0.0036028669711104296,2.15007200979162,0.015745745699342336,0.007041711548030885,408260.8,360.8118623327121,161.35997025284803,204505.4,180.40593116635605,80.67998512642401,19.712,0.2868046179699502,0.12826292440833328
target_frontier_gap_ev,200,5,5,0.9661833829442086,0.007253128763460017,0.0032436977929311177,0.04376553459257697,0.001539567317773675,0.0006885154356957914,0.06677828262236837,0.0078475462027147,0.0035095293531680824,0.5780816089827567,0.007460427023031926,0.0033364043929351547,108912.8,70.95914317408294,31.733893552477927,54556.4,35.47957158704147,15.866946776238963,19.630000000000003,0.22212046281241127,0.09933529080845314
target_frontier_gap_ev,500,5,5,0.9662006073895396,0.007353962932659184,0.0032887922042879286,0.04376662210196072,0.0016596404874207797,0.0007422137896167496,0.06675457965614014,0.007941557210974266,0.0035515723541884193,1.4315053204074502,0.010755303724937954,0.0048099180495235925,272256.0,280.0214277515205,125.22938952178917,136378.0,140.01071387576025,62.61469476089459,19.700799999999997,0.2807440115122669,0.12555253880348247
target_frontier_gap_ev,100,5,5,0.9656125709030061,0.007546550673251015,0.0033749200602072142,0.04392797258517973,0.001432687239771285,0.0006407172117250267,0.06732908419244368,0.008087910804189299,0.0036170236708244524,0.28877772025298326,0.0012998862988856782,0.0005813268254657971,54450.0,60.530983801686226,27.07027890510181,27275.0,30.265491900843113,13.535139452550904,19.624000000000002,0.13164345787011197,0.05887274411814001
target_frontier_gap_ev,50,5,5,0.9654837304580484,0.007627293072178672,0.003411029158740944,0.044023690769826734,0.0015216736283366475,0.0006805131345058988,0.06744984461739835,0.008159859152569681,0.003649199950393927,0.14760199279990047,0.0014751666515138272,0.0006597145821851321,27160.0,59.61543424315552,26.660832695172893,13605.0,29.80771712157776,13.330416347586446,19.84,0.2517935662402839,0.11260550608207417
target_frontier_gap_ev,300,10,5,0.9537836805784599,0.010474942616566299,0.004684536750210352,0.05050759639143659,0.0016973396260396895,0.0007590733569457635,0.07802396084855326,0.009621629009161636,0.004302923303753873,0.650382962380536,0.005026261734459202,0.0022478125821913547,77233.2,94.80084387810058,42.39622624715553,38766.6,47.40042193905029,21.198113123577766,15.780000000000001,0.20200385034834262,0.09033886821911773
target_frontier_gap_ev,500,10,5,0.9537280569629882,0.010520326809695502,0.004704833178398527,0.05051462908898524,0.0017507806798343873,0.000782972922760597,0.07806904815307049,0.009658926935527055,0.004319603443508444,1.0806925417855382,0.009317904445966276,0.004167093549805621,128727.2,127.48803865461262,57.01438414996693,64613.6,63.74401932730631,28.507192074983465,15.7244,0.17339204133984928,0.07754327823867134
target_frontier_gap_ev,750,10,5,0.9537905386832268,0.010540619831703733,0.004713908493734388,0.05052492753684026,0.0017752583354767408,0.0007939196631498238,0.07801325332392203,0.009688700946429016,0.004332918785976365,1.6097216077847407,0.004017172980307872,0.0017965343722687649,193043.6,166.48363282917634,74.45374402943078,96896.8,83.24181641458817,37.22687201471539,15.748533333333336,0.1580368452116294,0.07067622576856308
target_frontier_gap_ev,1000,10,5,0.9538080529245011,0.01053993445177215,0.004713601982510901,0.05052563726726108,0.0017691068694477403,0.0007911686439093985,0.0779985354199098,0.00968744548890602,0.004332357328303509,2.1521045159781353,0.013294247228217074,0.005945368102396307,257373.2,256.02187406547904,114.4964628274603,129186.6,128.01093703273952,57.24823141373015,15.7644,0.1780766688816925,0.07963830736523717
target_frontier_gap_ev,200,10,5,0.9535013604429377,0.010479747480132683,0.004686685550521761,0.050563604176281786,0.0016117078456872546,0.0007207776605652885,0.07826835726359684,0.009598706525830048,0.004292672057565366,0.4342445428250358,0.0016842827756309356,0.0007532341559285596,51480.8,96.846269933333,43.31096858764532,25840.4,48.4231349666665,21.65548429382266,15.748,0.22673222091268866,0.10139773173005424
target_frontier_gap_ev,50,10,5,0.9536243022564281,0.009944216680691597,0.004447188896202746,0.05063341807550324,0.0017651270671002754,0.0007893888221922096,0.07819861558157673,0.00918474408615012,0.00410754242651417,0.1117593307979405,0.00035688929745437536,0.00015960574591002518,12880.8,26.252618916976648,11.740528097151337,6465.4,13.126309458488324,5.8702640485756685,15.964000000000002,0.35760313197733645,0.15992498241363062
