target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_interaction_energy_kcal_mol,1000,5,1,1755,439,2.846807490917854,543594,272297,17.833,0.9447188468815687,0.8629654135210776,1.1691069772183444
target_interaction_energy_kcal_mol,1000,5,2,1755,439,2.855453353957273,543206,272103,17.688,0.93161015338814,0.8901406819701783,1.280058991315302
target_interaction_energy_kcal_mol,1000,5,3,1755,439,2.790692402049899,543860,272430,17.752,0.9279087721339052,0.9109756867955684,1.3005488665746971
target_interaction_energy_kcal_mol,1000,5,4,1755,439,2.791660050977953,544052,272526,17.861,0.9136199544683458,0.9610805573975291,1.4089154578981702
target_interaction_energy_kcal_mol,1000,5,5,1756,438,2.7883759640390053,543274,272137,17.864,0.9326693932786211,0.9086826952103867,1.2614384122794782
target_interaction_energy_kcal_mol,1000,10,1,1755,439,2.1266960699576885,257262,129131,14.191,0.9232514464184973,1.0125887839327121,1.3775291741026476
target_interaction_energy_kcal_mol,1000,10,2,1755,439,2.1302077589789405,257166,129083,14.13,0.913250930258543,1.0394248194582958,1.441672395358914
target_interaction_energy_kcal_mol,1000,10,3,1755,439,2.1328523400006816,257732,129366,14.212,0.9014481941506212,1.0769423702765393,1.5206097015861557
target_interaction_energy_kcal_mol,1000,10,4,1755,439,2.12062910804525,257056,129028,14.224,0.8950998974914477,1.10232613527897,1.5526235742624463
target_interaction_energy_kcal_mol,1000,10,5,1756,438,2.119548646034673,257250,129125,14.328,0.9099872883462293,1.052452355115205,1.458517721170755
target_frontier_gap_ev,50,1,1,1755,439,0.35753655910957605,175162,87606,30.16,0.9813047439601634,0.03490395899772209,0.04908402416766605
target_frontier_gap_ev,50,1,2,1755,439,0.3731521130539477,175126,87588,30.0,0.977364995576347,0.03787090205011386,0.0542891199704115
target_frontier_gap_ev,50,1,3,1755,439,0.3587679018964991,175244,87647,29.16,0.9773160411906124,0.035993845102505716,0.05581732696544331
target_frontier_gap_ev,50,1,4,1755,439,0.3620566891040653,174996,87523,29.58,0.9804133281828612,0.03536741230068332,0.0510602855433869
target_frontier_gap_ev,50,1,5,1756,438,0.3591970420675352,175226,87638,30.68,0.9781098192031633,0.036540196347031935,0.054345413874383866
target_frontier_gap_ev,50,2,1,1755,439,0.23092011408880353,75946,37998,25.16,0.9791968121333589,0.036116279802581586,0.05177729979893332
target_frontier_gap_ev,50,2,2,1755,439,0.23626013891771436,76100,38075,24.48,0.9751845648141316,0.039696772892938506,0.0568438464731768
target_frontier_gap_ev,50,2,3,1755,439,0.22982644801959395,75956,38003,24.84,0.9709284842194379,0.03797120015186028,0.06318928596744088
target_frontier_gap_ev,50,2,4,1755,439,0.2278335839509964,75930,37990,25.4,0.9797287964670588,0.036409458845861706,0.051944872302751105
target_frontier_gap_ev,50,2,5,1756,438,0.22931806300766766,75972,38011,25.64,0.9740682996129107,0.038010358447488596,0.059149860379914244
target_frontier_gap_ev,50,3,1,1755,439,0.18831768399104476,47974,24012,23.18,0.9769877849808679,0.038537712298875496,0.054456993925210424
target_frontier_gap_ev,50,3,2,1755,439,0.18635305704083294,47950,24000,22.52,0.9736540359996826,0.04150751575731276,0.05857058435142985
target_frontier_gap_ev,50,3,3,1755,439,0.18551013304386288,47906,23978,22.32,0.9662513529073534,0.03984492316773338,0.06808286037645903
target_frontier_gap_ev,50,3,4,1755,439,0.18497568799648434,47910,23980,22.74,0.9791692826125658,0.037665670976606294,0.05265686864703792
